LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
imposturize,verb,1772,0,transitive. To mimic the postures of.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7846810512,http://www.oed.com/dictionary/imposturize_v2
robberaceously,adverb,1772,0,In a manner suggestive of robbers.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1198677388,http://www.oed.com/dictionary/robberaceously_adv
subjectess,noun,1772,0,A female subject.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7674240461,http://www.oed.com/dictionary/subjectess_n
testamentiferous,adjective,1772,0,Bearing the covenant: applied to the Jewish ‘ark…,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1165363002,http://www.oed.com/dictionary/testamentiferous_adj
tapinophoby,noun,1773,0,(See quot. 1773.),borrowing,,,Not in use,,,https://doi.org/10.1093/OED/6340725465,http://www.oed.com/dictionary/tapinophoby_n
colteity,noun,a1774-,0,Quality of being a colt.,derivative,,,In current use,,,https://doi.org/10.1093/OED/8409988623,http://www.oed.com/dictionary/colteity_n
geldingeity,noun,a1774,0,The quality of being a gelding.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7528026646,http://www.oed.com/dictionary/geldingeity_n
gypsiety,noun,a1774,0,The quality or condition of being a Gypsy.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/9969345193,http://www.oed.com/dictionary/gypsiety_n
incorporeity,noun,a1774,0,The quality of being incorporated.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/4175813532,http://www.oed.com/dictionary/incorporeity_n2
juntocracy,noun,1774-,0,Government by a junto.,derivative,,,In current use,,,https://doi.org/10.1093/OED/2016848577,http://www.oed.com/dictionary/juntocracy_n
poker,verb,1774-,3,"transitive. To take a poker to; to poke, stir, or…",conversion,,,In current use,,,https://doi.org/10.1093/OED/7688349563,http://www.oed.com/dictionary/poker_v
bee wine,noun,1775-,0,An alcoholic beverage made using a culture of…,compound,,historical,In current use,,"consumables/drink, sciences/life sciences/microbiology/bacteria",https://doi.org/10.1093/OED/2630583325,http://www.oed.com/dictionary/bee-wine_n
devilade,noun,1775,0,A social gathering or entertainment regarded as…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2251467910,http://www.oed.com/dictionary/devilade_n
Ethiopianism,noun,1775-,3,South African. The religious and political…,derivative,,,In current use,African English/South African English,"politics, religion and belief/religion",https://doi.org/10.1093/OED/4762742955,http://www.oed.com/dictionary/ethiopianism_n
hieromancy,noun,1775-,1,Divination from the observation of objects…,borrowing,,,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/9289530327,http://www.oed.com/dictionary/hieromancy_n
quiverante,noun,1775,0,Tremulous quality or tone of voice.,compound,,,Not in use,,arts/performing arts/music,https://doi.org/10.1093/OED/3567226481,http://www.oed.com/dictionary/quiverante_n
swamper,noun,1775-,3,"U.S. An assistant to a driver of horses, mules…",derivative,,colloquial and slang,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/9534076787,http://www.oed.com/dictionary/swamper_n
theophysical,adjective,1775-,0,"Physical, but ordered by God.",compound,,,In current use,,,https://doi.org/10.1093/OED/1008252753,http://www.oed.com/dictionary/theophysical_adj
wind catcher,noun,?1775-,2,Originally and chiefly in Middle Eastern…,compound,,,In current use,,manufacturing and industry/building/architecture,https://doi.org/10.1093/OED/7398599119,http://www.oed.com/dictionary/wind-catcher_n
