LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
conversion therapy,noun,1967-,4,Therapy or treatment intended or claimed to…,compound,,,In current use,,,https://doi.org/10.1093/OED/8135732232,http://www.oed.com/dictionary/conversion-therapy_n
brain freeze,noun,1968-,3,Severe but usually short-lived pain in the…,compound,,colloquial and slang,In current use,North American English,sciences/medicine,https://doi.org/10.1093/OED/4859091777,http://www.oed.com/dictionary/brain-freeze_n
scammy,adjective,1968-,3,Involving or suggestive of a swindle or scam; (of…,derivative,,colloquial and slang,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/2962180885,http://www.oed.com/dictionary/scammy_adj
brain fart,noun,1969-,3,colloquial. A temporary mental lapse or failure…,compound,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/5270402670,http://www.oed.com/dictionary/brain-fart_n
demisexual,"adjective, noun",1969-,3,Designating a person who only develops sexual…,derivative,,,In current use,,,https://doi.org/10.1093/OED/8771804312,http://www.oed.com/dictionary/demisexual_adj
homophobia,noun,1969-,4,"Hostility towards, prejudice against, or (less…",compound,,,In current use,,,https://doi.org/10.1093/OED/8209105673,http://www.oed.com/dictionary/homophobia_n2
Mata-Hari-ing,noun,1970-,0,The action of behaving like a Mata Hari.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1098043774,http://www.oed.com/dictionary/mata-hari-ing_n
symbolomania,noun,1970-,0,Excessive use of symbols.,compound,,,In current use,,,https://doi.org/10.1093/OED/3053924996,http://www.oed.com/dictionary/symbolomania_n
upspeak,noun,1971-,1,The use of political rhetoric emphasizing…,derivative,,,In current use,,language/linguistics,https://doi.org/10.1093/OED/3158219457,http://www.oed.com/dictionary/upspeak_n
wort-blue,adjective,a1973-,0,Of a blue colour.,compound,,,In current use,,,https://doi.org/10.1093/OED/8561751532,http://www.oed.com/dictionary/wort-blue_adj
nanniness,noun,1973-,0,The state or condition of being nannyish.,derivative,,,In current use,,,https://doi.org/10.1093/OED/2627347641,http://www.oed.com/dictionary/nanniness_n
leptoquark,noun,1974-,3,Any of various hypothetical subatomic particles…,compound,,,In current use,,sciences/physical sciences/physics/particle physics,https://doi.org/10.1093/OED/7472268806,http://www.oed.com/dictionary/leptoquark_n
prisoner-of-wardom,noun,1974-,0,The condition of being a prisoner of war.,derivative,,,In current use,,,https://doi.org/10.1093/OED/4388514974,http://www.oed.com/dictionary/prisoner-of-wardom_n
Scots Nattery,noun,1978-,0,Scottish Nationalism.,derivative,,colloquial and slang,In current use,,politics/British politics,https://doi.org/10.1093/OED/2994852775,http://www.oed.com/dictionary/scots-nattery_n
bracketology,noun,1983-,3,U.S. The activity of predicting the participating…,compound,,,In current use,North American English/U.S. English,sport and leisure/sport/basketball,https://doi.org/10.1093/OED/2785932310,http://www.oed.com/dictionary/bracketology_n
anti-nuking,adjective,1986-,0,That opposes or protests against nuclear weapons…,derivative,,colloquial and slang,In current use,,military/weaponry,https://doi.org/10.1093/OED/9609059746,http://www.oed.com/dictionary/anti-nuking_adj
bioterror,noun,1986-,3,"a. Horror (in a film, etc.) caused by mutation or…",compound,,,In current use,,,https://doi.org/10.1093/OED/5427225321,http://www.oed.com/dictionary/bioterror_n
digibox,noun,1990-,0,An electronic device that can be plugged into a…,compound,,,In current use,,"technology/electrical/electronics, technology/telecommunications/broadcasting/television",https://doi.org/10.1093/OED/3784451885,http://www.oed.com/dictionary/digibox_n
major-domoing,noun,1991-,0,Service as a major-domo.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1034480783,http://www.oed.com/dictionary/major-domoing_n
bracketologist,noun,1992-,3,A person who works to resolve disputed passages…,derivative,,,In current use,North American English/U.S. English,sport and leisure/sport/basketball,https://doi.org/10.1093/OED/1200650288,http://www.oed.com/dictionary/bracketologist_n
cyberchondriac,noun,1993-,1,a. A person who worries irrationally about the…,compound,,disparaging,In current use,,technology/computing,https://doi.org/10.1093/OED/5547953799,http://www.oed.com/dictionary/cyberchondriac_n
napkin-hidden,adjective,1993-,0,"(Of a talent) concealed or wasted; cf. napkined, adj.",compound,,,In current use,,,https://doi.org/10.1093/OED/2701524330,http://www.oed.com/dictionary/napkin-hidden_adj
sneakerhead,noun,1993-,4,An enthusiast for or collector of trainers (cf…,compound,,colloquial and slang,In current use,North American English,,https://doi.org/10.1093/OED/9880049434,http://www.oed.com/dictionary/sneakerhead_n
cyber-bully,noun,1994-,3,a. An experienced user of computers who…,compound,,,In current use,,technology/computing,https://doi.org/10.1093/OED/7708076377,http://www.oed.com/dictionary/cyber-bully_n
extranet,noun,1995-,4,"An intranet that can be accessed, via the…",derivative,,,In current use,,"technology/computing, technology/telecommunications",https://doi.org/10.1093/OED/2276265408,http://www.oed.com/dictionary/extranet_n
alt-right,noun,2003-,4,In the United States: a right-wing ideological…,compound,,,In current use,,politics,https://doi.org/10.1093/OED/5878577831,http://www.oed.com/dictionary/alt-right_n
sharenting,noun,2010-,0,"The action or practice of sharing news, images…",blend,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/7727760589,http://www.oed.com/dictionary/sharenting_n
""
Exported 922 of 922 from http://www.oed.com/search/advanced/Entries?textTermText0=%2522isolated%2520use%2522&textTermOpt0=Definition&dateOfUseFirstUse=true&dateOfUseFrom=1862&page=1&sortOption=DateOldFirst&premium=true
Copyright © 2026 Oxford University Press. All rights reserved. Legal Notice: https://www.oed.com/public/legal-notice/
