lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
destruct,DESTRUCT,8,verb,a1638-,1638,4,borrowing,"= destroy, v. Also as n. attributive.",printed date range,http://www.oed.com/dictionary/destruct_v
extraneous,EXTRANEOUS,10,adjective,1638-,1638,5,borrowing,"External to, not comprised in or forming part of…",printed date range,http://www.oed.com/dictionary/extraneous_adj
pillarist,PILLARIST,9,noun,a1638-,1638,0,derivative,An ascetic who lives on a pillar; a stylite. Now rare.,printed date range,http://www.oed.com/dictionary/pillarist_n
concernable,CONCERNABLE,11,adjective,1639-,1639,1,derivative,Of concern; important. rare in later use.,printed date range,http://www.oed.com/dictionary/concernable_adj
evocate,EVOCATE,7,verb,1639-,1639,2,borrowing,"To call up (spirits) from the dead, (events) from…",printed date range,http://www.oed.com/dictionary/evocate_v
federally,FEDERALLY,9,adverb,1639-,1639,5,derivative,After the manner of a federation; by means of a…,printed date range,http://www.oed.com/dictionary/federally_adv
French,FRENCH,6,verb,1639-,1639,5,conversion,transitive. Cookery (now chiefly U.S.). To…,printed date range,http://www.oed.com/dictionary/french_v
hear-so,HEARSO,6,noun,1639-,1639,0,compound,One who has heard so: one who knows by hearsay.,printed date range,http://www.oed.com/dictionary/hear-so_n
fibulate,FIBULATE,8,verb,1640-,1640,1,borrowing,transitive. To put a button on (a foil).,printed date range,http://www.oed.com/dictionary/fibulate_v
gainless,GAINLESS,8,adjective,1640-,1640,2,derivative,Producing no gain; unprofitable; useless.,printed date range,http://www.oed.com/dictionary/gainless_adj2
see-saw,SEESAW,6,"interjection, noun, adjective",1640-,1640,4,compound,A piece of play equipment consisting of a long…,printed date range,http://www.oed.com/dictionary/see-saw_int
sword,SWORD,5,verb,a1640-,1640,4,conversion,"To strike, slash, or kill with a sword. Also…",printed date range,http://www.oed.com/dictionary/sword_v
incendiaryship,INCENDIARYSHIP,14,noun,1641-,1641,0,derivative,The office or personality of an incendiary.,printed date range,http://www.oed.com/dictionary/incendiaryship_n
literator,LITERATOR,9,noun,a1641-,1641,2,borrowing,A person engaged in literary pursuits; a writer…,printed date range,http://www.oed.com/dictionary/literator_n
shop club,SHOPCLUB,8,noun,a1641-,1641,2,compound,†a. (Probably) a club or cudgel regarded as the…,printed date range,http://www.oed.com/dictionary/shop-club_n
succenturiate,SUCCENTURIATE,13,adjective,1641-,1641,2,borrowing,Anatomy and Zoology. Of various anatomical…,printed date range,http://www.oed.com/dictionary/succenturiate_adj
unplunge,UNPLUNGE,8,verb,a1641-,1641,1,derivative,transitive. To raise from a plunged position or state.,printed date range,http://www.oed.com/dictionary/unplunge_v
councilist,COUNCILIST,10,noun,1642-,1642,0,derivative,A supporter or advocate of a council or councils…,printed date range,http://www.oed.com/dictionary/councilist_n
viraginian,VIRAGINIAN,10,"adjective, noun",1642-,1642,1,borrowing,"Designating a violent, overbearing, or…",printed date range,http://www.oed.com/dictionary/viraginian_adj
elapse,ELAPSE,6,verb,a1644-,1644,5,borrowing,"intransitive. Of time, a period of time: To slip…",printed date range,http://www.oed.com/dictionary/elapse_v
thesmophilist,THESMOPHILIST,13,noun,1644-,1644,0,borrowing,A lover of law.,printed date range,http://www.oed.com/dictionary/thesmophilist_n
biasing,BIASING,7,noun,1645-,1645,3,derivative,The action or fact of exerting an influence on a…,printed date range,http://www.oed.com/dictionary/biasing_n
cabal,CABAL,5,verb,1645-,1645,3,borrowing,intransitive. To join together or meet with…,printed date range,http://www.oed.com/dictionary/cabal_v
cored,CORED,5,adjective,1645-,1645,4,derivative,"Having a core, esp. of a specified kind…",printed date range,http://www.oed.com/dictionary/cored_adj
elusory,ELUSORY,7,adjective,1646-,1646,2,borrowing,"Tending to elude (a danger, argument, law, etc.)…",printed date range,http://www.oed.com/dictionary/elusory_adj
writing dust,WRITINGDUST,11,noun,1646-,1646,0,compound,"Sand, pounce (pounce, n.³ 1) or another powdery…",printed date range,http://www.oed.com/dictionary/writing-dust_n
ear guard,EARGUARD,8,noun,1647-,1647,2,compound,A protector for the ear. Chiefly in plural.,printed date range,http://www.oed.com/dictionary/ear-guard_n
gnat-sin,GNATSIN,7,noun,1647-,1647,0,compound,A trivial sin (in reference to Matthew 23: 24).,printed date range,http://www.oed.com/dictionary/gnat-sin_n
counter-band,COUNTERBAND,11,verb,1648-,1648,0,derivative,transitive. To band or form again (a disbanded army).,printed date range,http://www.oed.com/dictionary/counter-band_v
navarchy,NAVARCHY,8,noun,1648-,1648,1,borrowing,Ancient Greek History. The office or position of…,printed date range,http://www.oed.com/dictionary/navarchy_n
prance,PRANCE,6,noun,1648-,1648,3,conversion,The action of prancing; an instance of this; a…,printed date range,http://www.oed.com/dictionary/prance_n
scouress,SCOURESS,8,noun,1648-,1648,0,derivative,A female scourer.,printed date range,http://www.oed.com/dictionary/scouress_n
fiction,FICTION,7,verb,a1649-,1649,0,conversion,"transitive. To imagine, hypothesize, or invent…",printed date range,http://www.oed.com/dictionary/fiction_v
linguister,LINGUISTER,10,noun,a1649-,1649,2,variant,"An interpreter, a translator. Cf. linguist, n. 5.",printed date range,http://www.oed.com/dictionary/linguister_n
superannuate,SUPERANNUATE,12,verb,1649-,1649,3,borrowing,transitive. To make (something) antiquated or…,printed date range,http://www.oed.com/dictionary/superannuate_v
tavernry,TAVERNRY,8,noun,c1650-,1650,0,derivative,Tavern-expenses.,printed date range,http://www.oed.com/dictionary/tavernry_n
theosophy,THEOSOPHY,9,noun,1650-,1650,4,borrowing,"Applied to a system of recent origin, resembling…",printed date range,http://www.oed.com/dictionary/theosophy_n
breathable,BREATHABLE,10,"adjective, noun",1651-,1651,3,derivative,Fit or pleasant to breathe; suitable for breathing.,printed date range,http://www.oed.com/dictionary/breathable_adj
heterodogmatize,HETERODOGMATIZE,15,verb,1651-,1651,0,compound,intransitive to hold or pronounce an opinion…,printed date range,http://www.oed.com/dictionary/heterodogmatize_v
champkin,CHAMPKIN,8,noun,a1652-,1652,0,derivative,"(Cf. bumpkin, n.¹ 1.)",printed date range,http://www.oed.com/dictionary/champkin_n
fob,FOB,3,noun,a1652-,1652,4,unknown,A small pocket formerly made in the waistband of…,printed date range,http://www.oed.com/dictionary/fob_n2
Israelitize,ISRAELITIZE,11,verb,1652-,1652,0,derivative,transitive. To make (someone or something)…,printed date range,http://www.oed.com/dictionary/israelitize_v
jack coat,JACKCOAT,8,noun,1652-,1652,0,compound,"†a. Profession, class; cf. coat, n. I.3…",printed date range,http://www.oed.com/dictionary/jack-coat_n
logofascinated,LOGOFASCINATED,14,adjective,1652-,1652,1,borrowing,Fascinated by words.,printed date range,http://www.oed.com/dictionary/logofascinated_adj
logopandocie,LOGOPANDOCIE,12,noun,1652-,1652,0,borrowing,Readiness to admit words of all kinds.,printed date range,http://www.oed.com/dictionary/logopandocie_n
modish,MODISH,6,"adjective, noun",1652-,1652,4,derivative,Of a person: attentive to or following the mode…,printed date range,http://www.oed.com/dictionary/modish_adj
schematologetically,SCHEMATOLOGETICALLY,19,adverb,1652-,1652,0,borrowing,By means of figured language.,printed date range,http://www.oed.com/dictionary/schematologetically_adv
thalassometrician,THALASSOMETRICIAN,17,noun,1652-,1652,0,compound,One who measures the sea.,printed date range,http://www.oed.com/dictionary/thalassometrician_n
traitorling,TRAITORLING,11,noun,a1652-,1652,0,derivative,A petty or contemptible traitor.,printed date range,http://www.oed.com/dictionary/traitorling_n
tunicled,TUNICLED,8,adjective,1652-,1652,0,derivative,Enclosed in or as in a tunicle.,printed date range,http://www.oed.com/dictionary/tunicled_adj
whippant,WHIPPANT,8,adjective,1652-,1652,0,derivative,That is frequently whipped.,printed date range,http://www.oed.com/dictionary/whippant_adj
