lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
duomachy,DUOMACHY,8,noun,1885-,1885,0,borrowing,A fight of two; single combat.,printed date range,http://www.oed.com/dictionary/duomachy_n
hyenesque,HYENESQUE,9,adjective,1885-,1885,0,derivative,"= hyenaish, adj.",printed date range,http://www.oed.com/dictionary/hyenesque_adj
hyenic,HYENIC,6,adjective,1885-,1885,1,derivative,"= hyenaish, adj.",printed date range,http://www.oed.com/dictionary/hyenic_adj
imit,IMIT,4,noun,1885-,1885,3,borrowing,Lowest point.,printed date range,http://www.oed.com/dictionary/imit_n
infimity,INFIMITY,8,noun,1885-,1885,1,borrowing,The quality of being ‘infimous’; concrete an…,printed date range,http://www.oed.com/dictionary/infimity_n
loaferess,LOAFERESS,9,noun,1885-,1885,0,derivative,A female loafer.,printed date range,http://www.oed.com/dictionary/loaferess_n
shieldling,SHIELDLING,10,noun,1885-,1885,0,derivative,A protected person.,printed date range,http://www.oed.com/dictionary/shieldling_n
towelry,TOWELRY,7,noun,1885-,1885,0,derivative,Articles of the towel kind; towels collectively.,printed date range,http://www.oed.com/dictionary/towelry_n
towster,TOWSTER,7,noun,1885-,1885,0,derivative,"= tower, n.²",printed date range,http://www.oed.com/dictionary/towster_n
trimontane,TRIMONTANE,10,adjective,1885-,1885,0,borrowing,"Having, or having some relation to, three…",printed date range,http://www.oed.com/dictionary/trimontane_adj
twi-thought,TWITHOUGHT,10,noun,1885-,1885,0,compound,An indistinct or vague thought.,printed date range,http://www.oed.com/dictionary/twi-thought_n
wiseacredom,WISEACREDOM,11,noun,1885-,1885,1,derivative,"The realm of wiseacres, wiseacres collectively.",printed date range,http://www.oed.com/dictionary/wiseacredom_n
yahooish,YAHOOISH,8,adjective,1885-,1885,0,derivative,Resembling or characteristic of a yahoo.,printed date range,http://www.oed.com/dictionary/yahooish_adj
camelcade,CAMELCADE,9,noun,1886-,1886,1,blend,A train of people on camels; a caravan with camels.,printed date range,http://www.oed.com/dictionary/camelcade_n
chasee,CHASEE,6,noun,1886-,1886,2,derivative,One who is chased.,printed date range,http://www.oed.com/dictionary/chasee_n
fiff,FIFF,4,verb,1886-,1886,2,imitative,To play on the Pandean pipes. (In quot. 1886…,printed date range,http://www.oed.com/dictionary/fiff_v
helperess,HELPERESS,9,noun,1886-,1886,0,derivative,A female helper.,printed date range,http://www.oed.com/dictionary/helperess_n
hoplitics,HOPLITICS,9,noun,1886-,1886,0,derivative,The drilling of hoplites.,printed date range,http://www.oed.com/dictionary/hoplitics_n
lambiness,LAMBINESS,9,noun,1886-,1886,1,derivative,Lamb-like quality.,printed date range,http://www.oed.com/dictionary/lambiness_n
lefty,LEFTY,5,"adjective, noun",1886-,1886,4,derivative,Characterized by or relating to views to the left…,printed date range,http://www.oed.com/dictionary/lefty_adj
spiderine,SPIDERINE,9,adjective,1886-,1886,0,derivative,Of the nature of a spider.,printed date range,http://www.oed.com/dictionary/spiderine_adj
trinityhood,TRINITYHOOD,11,noun,1886-,1886,0,derivative,The condition or character of being a trinity.,printed date range,http://www.oed.com/dictionary/trinityhood_n
wigdom,WIGDOM,6,noun,1886-,1886,1,derivative,Judges or lawyers as a body.,printed date range,http://www.oed.com/dictionary/wigdom_n
'dandy-jack,DANDYJACK,9,verb,1887-,1887,0,compound,"To play the dandy or jack-a-dandy (jack-a-dandy, n.).",printed date range,http://www.oed.com/dictionary/dandy-jack_v
dissembly,DISSEMBLY,9,noun,1887-,1887,2,derivative,The separation of an assembly.,printed date range,http://www.oed.com/dictionary/dissembly_n2
harbingery,HARBINGERY,10,noun,1887-,1887,0,derivative,The act or function of a harbinger (in harbinger…,printed date range,http://www.oed.com/dictionary/harbingery_n
heterosex,HETEROSEX,9,"adjective, noun",1887-,1887,3,compound,"= heterosexual, adj. (in various senses).",printed date range,http://www.oed.com/dictionary/heterosex_adj
jubilee,JUBILEE,7,verb,1887-,1887,2,conversion,intransitive. To celebrate a jubilee.,printed date range,http://www.oed.com/dictionary/jubilee_v
parapsychological,PARAPSYCHOLOGICAL,17,adjective,1887-,1887,3,derivative,Of or relating to parapsychology (parapsychology…,printed date range,http://www.oed.com/dictionary/parapsychological_adj
parapsychology,PARAPSYCHOLOGY,14,noun,1887-,1887,4,derivative,The field of study that deals with paranormal…,printed date range,http://www.oed.com/dictionary/parapsychology_n
toxophilism,TOXOPHILISM,11,noun,1887-,1887,0,,"= toxophily, n.",printed date range,http://www.oed.com/dictionary/toxophilism_n
tri-spear,TRISPEAR,8,noun,1887-,1887,0,compound,A trident.,printed date range,http://www.oed.com/dictionary/tri-spear_n
wheeldom,WHEELDOM,8,noun,1887-,1887,0,derivative,"The domain or ‘world’ of wheeled vehicles, esp…",printed date range,http://www.oed.com/dictionary/wheeldom_n
copartitive,COPARTITIVE,11,adjective,1888-,1888,0,derivative,Of or pertaining to co-partnership.,printed date range,http://www.oed.com/dictionary/copartitive_adj
corkedness,CORKEDNESS,10,noun,1888-,1888,0,derivative,"State or quality of being corked (corked, adj. 4).",printed date range,http://www.oed.com/dictionary/corkedness_n
dense,DENSE,5,verb,1888-,1888,3,conversion,To make dense; ˈdensing n.,printed date range,http://www.oed.com/dictionary/dense_v
flip-up,FLIPUP,6,adjective,1888-,1888,3,compound,Designating something which can be flipped or…,printed date range,http://www.oed.com/dictionary/flip-up_adj
ganderism,GANDERISM,9,noun,1888-,1888,0,derivative,Conduct of or befitting a gander.,printed date range,http://www.oed.com/dictionary/ganderism_n
incorporationist,INCORPORATIONIST,16,noun,1888-,1888,2,derivative,One who favours or supports incorporation.,printed date range,http://www.oed.com/dictionary/incorporationist_n
insidedness,INSIDEDNESS,11,noun,1888-,1888,2,derivative,The condition of being inside something else.,printed date range,http://www.oed.com/dictionary/insidedness_n
Meredithian,MEREDITHIAN,11,"adjective, noun",1888-,1888,3,proper name,"Of, relating to, or characteristic of George…",printed date range,http://www.oed.com/dictionary/meredithian_adj
shivelight,SHIVELIGHT,10,noun,1888-,1888,0,compound,A sliver of light.,printed date range,http://www.oed.com/dictionary/shivelight_n
touristdom,TOURISTDOM,10,noun,1888-,1888,1,derivative,The realm or collective body of tourists.,printed date range,http://www.oed.com/dictionary/touristdom_n
treatyist,TREATYIST,9,noun,1888-,1888,0,derivative,One who frames or is bound by a treaty.,printed date range,http://www.oed.com/dictionary/treatyist_n
consonation,CONSONATION,11,noun,1889-,1889,1,borrowing,A sounding together.,printed date range,http://www.oed.com/dictionary/consonation_n
contributress,CONTRIBUTRESS,13,noun,1889-,1889,0,derivative,A female (literary) contributor.,printed date range,http://www.oed.com/dictionary/contributress_n
crestlet,CRESTLET,8,noun,1889-,1889,0,derivative,A little crest.,printed date range,http://www.oed.com/dictionary/crestlet_n
dehuman,DEHUMAN,7,adjective,1889-,1889,2,derivative,Wanting the attributes of humanity.,printed date range,http://www.oed.com/dictionary/dehuman_adj
demagoguize,DEMAGOGUIZE,11,verb,1889-,1889,0,derivative,intransitive. To play the demagogue.,printed date range,http://www.oed.com/dictionary/demagoguize_v
dollarocracy,DOLLAROCRACY,12,noun,1889-,1889,1,derivative,"See -cracy, comb. form.",printed date range,http://www.oed.com/dictionary/dollarocracy_n
donkeydom,DONKEYDOM,9,noun,1889-,1889,1,derivative,"Condition of a donkey, stupidity, folly.",printed date range,http://www.oed.com/dictionary/donkeydom_n
donkeyship,DONKEYSHIP,10,noun,1889-,1889,1,derivative,The personality of a donkey.,printed date range,http://www.oed.com/dictionary/donkeyship_n
extensivist,EXTENSIVIST,11,noun,1889-,1889,0,derivative,Originally and chiefly U.S. A physician or other…,printed date range,http://www.oed.com/dictionary/extensivist_n
grumblous,GRUMBLOUS,9,adjective,1889-,1889,0,derivative,Full of grumbles.,printed date range,http://www.oed.com/dictionary/grumblous_adj
intensivist,INTENSIVIST,11,noun,1889-,1889,3,derivative,An advocate or practitioner of an intensive…,printed date range,http://www.oed.com/dictionary/intensivist_n
keyboard,KEYBOARD,8,verb,1889-,1889,4,conversion,transitive. To enter or produce (text or other…,printed date range,http://www.oed.com/dictionary/keyboard_v
loafership,LOAFERSHIP,10,noun,1889-,1889,0,derivative,The state of being a loafer.,printed date range,http://www.oed.com/dictionary/loafership_n
sic,SIC,3,verb,1889-,1889,3,conversion,To mark with a ‘sic’.,printed date range,http://www.oed.com/dictionary/sic_v
swashbucklery,SWASHBUCKLERY,13,noun,1889-,1889,0,derivative,The conduct of a swashbuckler.,printed date range,http://www.oed.com/dictionary/swashbucklery_n
tottledom,TOTTLEDOM,9,noun,1889-,1889,0,derivative,"(For toddledom), the sphere of toddlers or…",printed date range,http://www.oed.com/dictionary/tottledom_n
typeful,TYPEFUL,7,adjective,1889-,1889,2,derivative,Having the quality of a type; typical; symbolic.,printed date range,http://www.oed.com/dictionary/typeful_adj
conjugable,CONJUGABLE,10,adjective,1890-,1890,2,borrowing,That can be conjugated.,printed date range,http://www.oed.com/dictionary/conjugable_adj
conspue,CONSPUE,7,verb,1890-,1890,1,borrowing,transitive. To spit upon (in contempt).,printed date range,http://www.oed.com/dictionary/conspue_v
corallize,CORALLIZE,9,verb,1890-,1890,0,derivative,transitive. To make into coral.,printed date range,http://www.oed.com/dictionary/corallize_v
cowless,COWLESS,7,adjective,1890-,1890,2,derivative,Destitute of cows.,printed date range,http://www.oed.com/dictionary/cowless_adj
cutlass,CUTLASS,7,verb,1890-,1890,3,conversion,To hew with a cutlass.,printed date range,http://www.oed.com/dictionary/cutlass_v
disherent,DISHERENT,9,adjective,1890-,1890,0,derivative,The opposite of coherent; incoherent; incongruous.,printed date range,http://www.oed.com/dictionary/disherent_adj
divitism,DIVITISM,8,noun,1890-,1890,0,borrowing,The condition of being rich.,printed date range,http://www.oed.com/dictionary/divitism_n
fauness,FAUNESS,7,noun,1890-,1890,1,derivative,A female faun.,printed date range,http://www.oed.com/dictionary/fauness_n
gendarming,GENDARMING,10,noun,1890-,1890,0,derivative,The discharge of police duties.,printed date range,http://www.oed.com/dictionary/gendarming_n
girlie-man,GIRLIEMAN,9,noun,1890-,1890,2,compound,Chiefly derogatory. A man whose behaviour…,printed date range,http://www.oed.com/dictionary/girlie-man_n
gownlet,GOWNLET,7,noun,1890-,1890,0,derivative,A small gown.,printed date range,http://www.oed.com/dictionary/gownlet_n
guide-post,GUIDEPOST,9,verb,1890-,1890,2,conversion,To furnish with a guide-post. In quot. 1890 figurative.,printed date range,http://www.oed.com/dictionary/guide-post_v
landladydom,LANDLADYDOM,11,noun,1890-,1890,0,derivative,The realm of landladies.,printed date range,http://www.oed.com/dictionary/landladydom_n
metageometry,METAGEOMETRY,12,noun,1890-,1890,2,derivative,Non-Euclidean geometry. Also as a count noun.,printed date range,http://www.oed.com/dictionary/metageometry_n
misuseful,MISUSEFUL,9,adjective,1890-,1890,0,derivative,Characterized by misuse.,printed date range,http://www.oed.com/dictionary/misuseful_adj
popinjayess,POPINJAYESS,11,noun,1890-,1890,0,derivative,"A beautiful woman (cf. popinjay, n. 2a).",printed date range,http://www.oed.com/dictionary/popinjayess_n
shaftlet,SHAFTLET,8,noun,1890-,1890,1,derivative,A small shaft or column.,printed date range,http://www.oed.com/dictionary/shaftlet_n
stock-keep,STOCKKEEP,9,verb,1890-,1890,2,,"To tend cattle, etc.",printed date range,http://www.oed.com/dictionary/stock-keep_v
teaey,TEAEY,5,adjective,1890-,1890,0,derivative,Having the characteristic properties of tea.,printed date range,http://www.oed.com/dictionary/teaey_adj
topsy-turvyist,TOPSYTURVYIST,13,noun,1890-,1890,0,derivative,An advocate of something (considered to be)…,printed date range,http://www.oed.com/dictionary/topsy-turvyist_n
Toriness,TORINESS,8,noun,1890-,1890,0,derivative,Tory quality or condition.,printed date range,http://www.oed.com/dictionary/toriness_n
what-now,WHATNOW,7,noun,1890-,1890,0,compound,"= quidnunc, n.",printed date range,http://www.oed.com/dictionary/what-now_n
diariness,DIARINESS,9,noun,1891-,1891,0,derivative,The quality characteristic of a diary.,printed date range,http://www.oed.com/dictionary/diariness_n
hymnification,HYMNIFICATION,13,noun,1891-,1891,1,borrowing,The making of hymns.,printed date range,http://www.oed.com/dictionary/hymnification_n
inferentialist,INFERENTIALIST,14,noun,1891-,1891,2,derivative,An advocate of such a theory.,printed date range,http://www.oed.com/dictionary/inferentialist_n
tariffless,TARIFFLESS,10,adjective,1891-,1891,0,derivative,Without a tariff.,printed date range,http://www.oed.com/dictionary/tariffless_adj
all-arounder,ALLAROUNDER,11,noun,1892-,1892,1,derivative,Something suited for a variety of purposes or…,printed date range,http://www.oed.com/dictionary/all-arounder_n
combustor,COMBUSTOR,9,noun,1892-,1892,4,derivative,Engineering. An apparatus or place where…,printed date range,http://www.oed.com/dictionary/combustor_n
cubdom,CUBDOM,6,noun,1892-,1892,0,derivative,The state of being a cub.,printed date range,http://www.oed.com/dictionary/cubdom_n
declarationist,DECLARATIONIST,14,noun,1892-,1892,0,derivative,One who joins in or signs a declaration.,printed date range,http://www.oed.com/dictionary/declarationist_n
fictility,FICTILITY,9,noun,1892-,1892,0,derivative,The quality or condition of being fictile (in…,printed date range,http://www.oed.com/dictionary/fictility_n
road rash,ROADRASH,8,noun,1892-,1892,2,compound,†a. A ‘rash’ or outbreak of roads in an area…,printed date range,http://www.oed.com/dictionary/road-rash_n
stereoscopism,STEREOSCOPISM,13,noun,1892-,1892,0,derivative,"Appearance of solidity, as of an object viewed in…",printed date range,http://www.oed.com/dictionary/stereoscopism_n
tavernwards,TAVERNWARDS,11,adverb,1892-,1892,0,derivative,Towards a tavern.,printed date range,http://www.oed.com/dictionary/tavernwards_adv
threadbarity,THREADBARITY,12,noun,1892-,1892,0,,In same sense.,printed date range,http://www.oed.com/dictionary/threadbarity_n
topazy,TOPAZY,6,adjective,1892-,1892,1,derivative,Like topaz.,printed date range,http://www.oed.com/dictionary/topazy_adj
toucanity,TOUCANITY,9,noun,1892-,1892,0,derivative,The character of a toucan.,printed date range,http://www.oed.com/dictionary/toucanity_n
treatyless,TREATYLESS,10,adjective,1892-,1892,1,derivative,Having no treaty.,printed date range,http://www.oed.com/dictionary/treatyless_adj
trotteress,TROTTERESS,10,noun,1892-,1892,0,derivative,"A female trotter (in globe-trotteress: cf. globe, n.).",printed date range,http://www.oed.com/dictionary/trotteress_n
hansomeer,HANSOMEER,9,noun,1893-,1893,0,,The driver of a hansom.,printed date range,http://www.oed.com/dictionary/hansomeer_n
inconsequentialism,INCONSEQUENTIALISM,18,noun,1893-,1893,0,derivative,Inconsequential or disconnected nature.,printed date range,http://www.oed.com/dictionary/inconsequentialism_n
insectarian,INSECTARIAN,11,noun,1893-,1893,0,derivative,One who feeds on insects.,printed date range,http://www.oed.com/dictionary/insectarian_n
staurology,STAUROLOGY,10,noun,1893-,1893,0,compound,A science or doctrine of the cross.,printed date range,http://www.oed.com/dictionary/staurology_n
stomach-wise,STOMACHWISE,11,adverb,1893-,1893,1,compound,(Crawling) on one's stomach.,printed date range,http://www.oed.com/dictionary/stomach-wise_adv
tobaccoed,TOBACCOED,9,adjective,1893-,1893,1,derivative,Characterized by the use of tobacco.,printed date range,http://www.oed.com/dictionary/tobaccoed_adj
topsy-turvyize,TOPSYTURVYIZE,13,verb,1893-,1893,0,derivative,"(transitive) to turn topsy-turvy, throw into…",printed date range,http://www.oed.com/dictionary/topsy-turvyize_v
torey,TOREY,5,adjective,1893-,1893,1,derivative,Of the nature of or consisting of ‘tore’ or…,printed date range,http://www.oed.com/dictionary/torey_adj
torpedoic,TORPEDOIC,9,adjective,1893-,1893,0,derivative,"Of a torpedo, like that of a torpedo.",printed date range,http://www.oed.com/dictionary/torpedoic_adj
wassailous,WASSAILOUS,10,adjective,1893-,1893,0,derivative,Given to revelry.,printed date range,http://www.oed.com/dictionary/wassailous_adj
blousette,BLOUSETTE,9,noun,1894-,1894,0,derivative,Any of various types of sleeveless or…,printed date range,http://www.oed.com/dictionary/blousette_n
cryptanalytic,CRYPTANALYTIC,13,adjective,1894-,1894,3,compound,Of or relating to cryptanalysis; concerned with…,printed date range,http://www.oed.com/dictionary/cryptanalytic_adj
degeomorphization,DEGEOMORPHIZATION,17,noun,1894-,1894,0,borrowing,"The process of making unlike, or less like, the earth.",printed date range,http://www.oed.com/dictionary/degeomorphization_n
devotionize,DEVOTIONIZE,11,verb,1894-,1894,0,derivative,transitive. To convert to devotional use.,printed date range,http://www.oed.com/dictionary/devotionize_v
hecatologue,HECATOLOGUE,11,noun,1894-,1894,0,borrowing,A code of a hundred rules.,printed date range,http://www.oed.com/dictionary/hecatologue_n
hyporrhined,HYPORRHINED,11,adjective,1894-,1894,0,derivative,Moustached.,printed date range,http://www.oed.com/dictionary/hyporrhined_adj
loaferdom,LOAFERDOM,9,noun,1894-,1894,1,derivative,The state of being a loafer.,printed date range,http://www.oed.com/dictionary/loaferdom_n
Shawian,SHAWIAN,7,adjective,1894-,1894,1,proper name,"= Shavian, adj.",printed date range,http://www.oed.com/dictionary/shawian_adj
tallow-candle,TALLOWCANDLE,12,verb,1894-,1894,2,derivative,(transitive) to smear or rub with a tallow candle.,printed date range,http://www.oed.com/dictionary/tallow-candle_v
tendril,TENDRIL,7,verb,1894-,1894,2,conversion,intransitive to curl like a tendril.,printed date range,http://www.oed.com/dictionary/tendril_v
vituperize,VITUPERIZE,10,verb,1894-,1894,0,borrowing,transitive. To vituperate.,printed date range,http://www.oed.com/dictionary/vituperize_v
dopester,DOPESTER,8,noun,1895-,1895,3,derivative,A person who collects information on sporting…,printed date range,http://www.oed.com/dictionary/dopester_n
incatch,INCATCH,7,noun,1895-,1895,0,conversion,A catching or sudden drawing in (of the breath).,printed date range,http://www.oed.com/dictionary/incatch_n
masculism,MASCULISM,9,noun,1895-,1895,2,derivative,"= masculinism, n.",printed date range,http://www.oed.com/dictionary/masculism_n
postermaniac,POSTERMANIAC,12,noun,1895-,1895,0,compound,A person with a mania for collecting posters.,printed date range,http://www.oed.com/dictionary/postermaniac_n
scuffle-shoe,SCUFFLESHOE,11,noun,1895-,1895,0,compound,A person of ‘slipshod’ habits.,printed date range,http://www.oed.com/dictionary/scuffle-shoe_n
stokerage,STOKERAGE,9,noun,1895-,1895,0,derivative,The action or the services of a stoker.,printed date range,http://www.oed.com/dictionary/stokerage_n
tariffable,TARIFFABLE,10,adjective,1895-,1895,0,derivative,That can be subjected to a tariff.,printed date range,http://www.oed.com/dictionary/tariffable_adj
triflet,TRIFLET,7,noun,1895-,1895,0,derivative,"A small trifle (in trifle, n. 4).",printed date range,http://www.oed.com/dictionary/triflet_n
trowist,TROWIST,7,noun,1895-,1895,0,derivative,A person credited with acquaintance with ‘trows’…,printed date range,http://www.oed.com/dictionary/trowist_n
yachtist,YACHTIST,8,noun,1895-,1895,0,derivative,"= yachtian, n.",printed date range,http://www.oed.com/dictionary/yachtist_n
megalopsychic,MEGALOPSYCHIC,13,adjective,1896-,1896,0,borrowing,Magnanimous.,printed date range,http://www.oed.com/dictionary/megalopsychic_adj
ravenling,RAVENLING,9,noun,1896-,1896,0,derivative,A young raven.,printed date range,http://www.oed.com/dictionary/ravenling_n
Shakespeare,SHAKESPEARE,11,verb,1896-,1896,2,conversion,(intransitive) to act in a Shakespeare play.,printed date range,http://www.oed.com/dictionary/shakespeare_v
sympsychograph,SYMPSYCHOGRAPH,14,noun,1896-,1896,0,derivative,An imaginary composite portrait produced by…,printed date range,http://www.oed.com/dictionary/sympsychograph_n
thousandaire,THOUSANDAIRE,12,noun,1896-,1896,1,derivative,One who has a thousand pounds.,printed date range,http://www.oed.com/dictionary/thousandaire_n
togetherhood,TOGETHERHOOD,12,noun,1896-,1896,0,derivative,"= togetherness, n.",printed date range,http://www.oed.com/dictionary/togetherhood_n
tolt,TOLT,4,verb,1896-,1896,1,conversion,"(transitive) to raise, lift up.",printed date range,http://www.oed.com/dictionary/tolt_v
tri-schism,TRISCHISM,9,noun,1896-,1896,0,compound,Schism of three parties.,printed date range,http://www.oed.com/dictionary/tri-schism_n
gallicide,GALLICIDE,9,noun,1897-,1897,0,borrowing,A killer of fowls (in quot. 1897 = a fox).,printed date range,http://www.oed.com/dictionary/gallicide_n
inaureole,INAUREOLE,9,verb,1897-,1897,0,derivative,transitive. To surround with or as with an aureole.,printed date range,http://www.oed.com/dictionary/inaureole_v
ladderless,LADDERLESS,10,adjective,1897-,1897,1,derivative,Having no ladder.,printed date range,http://www.oed.com/dictionary/ladderless_adj
self-noise,SELFNOISE,9,noun,1897-,1897,2,derivative,"Noise generated by a device, vehicle, etc…",printed date range,http://www.oed.com/dictionary/self-noise_n
soapboxing,SOAPBOXING,10,noun,1897-,1897,0,derivative,The action or process of delivering an…,printed date range,http://www.oed.com/dictionary/soapboxing_n
stay-maker,STAYMAKER,9,noun,1897-,1897,2,compound,One who makes a long stay.,printed date range,http://www.oed.com/dictionary/stay-maker_n-a
tavernless,TAVERNLESS,10,adjective,1897-,1897,1,derivative,Devoid of taverns or inns.,printed date range,http://www.oed.com/dictionary/tavernless_adj
telephotomicrography,TELEPHOTOMICROGRAPHY,20,noun,1897-,1897,0,compound,†a. The art or practice of photographing distant…,printed date range,http://www.oed.com/dictionary/telephotomicrography_n
ish,ISH,3,verb,1898-,1898,4,imitative,intransitive. To make the sound ish! or sh! as in…,printed date range,http://www.oed.com/dictionary/ish_v2
shadow-script,SHADOWSCRIPT,12,noun,1898-,1898,0,compound,Markings in shadow.,printed date range,http://www.oed.com/dictionary/shadow-script_n
shaglet,SHAGLET,7,noun,1898-,1898,0,derivative,A young shag or cormorant.,printed date range,http://www.oed.com/dictionary/shaglet_n
tobaccoite,TOBACCOITE,10,noun,1898-,1898,0,derivative,An advocate of tobacco.,printed date range,http://www.oed.com/dictionary/tobaccoite_n
stagship,STAGSHIP,8,noun,1899-,1899,0,derivative,"The condition, dignity or state of being a stag.",printed date range,http://www.oed.com/dictionary/stagship_n
stonelet,STONELET,8,noun,1899-,1899,0,derivative,A little stone.,printed date range,http://www.oed.com/dictionary/stonelet_n
thrushling,THRUSHLING,10,noun,1899-,1899,0,derivative,A young thrush.,printed date range,http://www.oed.com/dictionary/thrushling_n
trumpless,TRUMPLESS,9,adjective,1899-,1899,0,derivative,Having or containing no trumps.,printed date range,http://www.oed.com/dictionary/trumpless_adj
kinkster,KINKSTER,8,noun,1900-,1900,2,derivative,A person who engages in sexual practices regarded…,printed date range,http://www.oed.com/dictionary/kinkster_n
paroch,PAROCH,6,noun,1900-,1900,2,borrowing,A member of the clergy of a parish.,printed date range,http://www.oed.com/dictionary/paroch_n
tri-vided,TRIVIDED,8,adjective,1900-,1900,0,compound,Divided into three.,printed date range,http://www.oed.com/dictionary/tri-vided_adj
lobsterling,LOBSTERLING,11,noun,1901-,1901,1,derivative,A young lobster.,printed date range,http://www.oed.com/dictionary/lobsterling_n
pathosticate,PATHOSTICATE,12,verb,1901-,1901,0,compound,intransitive. To induce pathos by melodramatic writing.,printed date range,http://www.oed.com/dictionary/pathosticate_v
progenerate,PROGENERATE,11,adjective,a1901-,1901,1,derivative,Advanced in development or type (opposed to…,printed date range,http://www.oed.com/dictionary/progenerate_adj2
yachtdom,YACHTDOM,8,noun,1901-,1901,0,derivative,"= yachtery, n.",printed date range,http://www.oed.com/dictionary/yachtdom_n
pyrophile,PYROPHILE,9,noun,1902-,1902,0,compound,a. a person who accepts the conventional theory…,printed date range,http://www.oed.com/dictionary/pyrophile_n
professorling,PROFESSORLING,13,noun,1903-,1903,1,derivative,A petty or insignificant professor.,printed date range,http://www.oed.com/dictionary/professorling_n
tariffism,TARIFFISM,9,noun,1903-,1903,1,derivative,The principle or system of imposing a tariff…,printed date range,http://www.oed.com/dictionary/tariffism_n
toupeted,TOUPETED,8,adjective,1903-,1903,0,derivative,Wearing a toupet.,printed date range,http://www.oed.com/dictionary/toupeted_adj
trifledom,TRIFLEDOM,9,noun,1903-,1903,0,derivative,The realm of trifles.,printed date range,http://www.oed.com/dictionary/trifledom_n
whirlwindy,WHIRLWINDY,10,adjective,1903-,1903,0,derivative,Resembling a whirlwind.,printed date range,http://www.oed.com/dictionary/whirlwindy_adj
teaism,TEAISM,6,noun,1904-,1904,1,derivative,Addiction to tea.,printed date range,http://www.oed.com/dictionary/teaism_n
toothbrushy,TOOTHBRUSHY,11,adjective,1904-,1904,0,derivative,Resembling a toothbrush; bristly.,printed date range,http://www.oed.com/dictionary/toothbrushy_adj
yah,YAH,3,verb,1904-,1904,2,conversion,(intransitive) to shout ‘yah!’,printed date range,http://www.oed.com/dictionary/yah_v
demutualization,DEMUTUALIZATION,15,noun,1905-,1905,3,derivative,The process of converting a mutual company owned…,printed date range,http://www.oed.com/dictionary/demutualization_n
pseudepigram,PSEUDEPIGRAM,12,noun,c1905-,1905,0,compound,A pretended epigram.,printed date range,http://www.oed.com/dictionary/pseudepigram_n
shepherddom,SHEPHERDDOM,11,noun,1905-,1905,0,derivative,The state of shepherds.,printed date range,http://www.oed.com/dictionary/shepherddom_n
steeded,STEEDED,7,adjective,1905-,1905,1,derivative,With steeds.,printed date range,http://www.oed.com/dictionary/steeded_adj
swanproof,SWANPROOF,9,adjective,1905-,1905,0,compound,Not susceptible to the influence of Shakespeare…,printed date range,http://www.oed.com/dictionary/swanproof_adj
bioelement,BIOELEMENT,10,noun,1906-,1906,2,compound,Any of the chemical elements which are components…,printed date range,http://www.oed.com/dictionary/bioelement_n
champagne socialism,CHAMPAGNESOCIALISM,18,noun,1906-,1906,1,compound,Socialism as practised or espoused by people who…,printed date range,http://www.oed.com/dictionary/champagne-socialism_n
champagne socialist,CHAMPAGNESOCIALIST,18,noun,1906-,1906,2,compound,A person who espouses socialist ideals but enjoys…,printed date range,http://www.oed.com/dictionary/champagne-socialist_n
jelly,JELLY,5,adjective,1906-,1906,2,derivative,Jealous.,printed date range,http://www.oed.com/dictionary/jelly_adj2
pismirism,PISMIRISM,9,noun,1906-,1906,0,derivative,Hoarding of money; miserliness.,printed date range,http://www.oed.com/dictionary/pismirism_n
reluctantism,RELUCTANTISM,12,noun,1906-,1906,0,derivative,The state or condition of being reluctant; reluctance.,printed date range,http://www.oed.com/dictionary/reluctantism_n
righty,RIGHTY,6,"noun, adverb, adjective",1906-,1906,3,derivative,North American. A right-handed person; spec…,printed date range,http://www.oed.com/dictionary/righty_n
sulkery,SULKERY,7,noun,1906-,1906,0,derivative,"= boudoir, n.",printed date range,http://www.oed.com/dictionary/sulkery_n
tetrateuch,TETRATEUCH,10,noun,1906-,1906,0,compound,"A name for the first four books of the Pentateuch, n.",printed date range,http://www.oed.com/dictionary/tetrateuch_n
tigerette,TIGERETTE,9,noun,1906-,1906,0,derivative,"A diminutive female tiger (in tiger, n. 4a), a ‘cat’.",printed date range,http://www.oed.com/dictionary/tigerette_n
wanderable,WANDERABLE,10,adjective,1906-,1906,0,derivative,That one can wander in.,printed date range,http://www.oed.com/dictionary/wanderable_adj
actor-manager,ACTORMANAGER,12,verb,1907-,1907,3,compound,transitive (of an actor-manager) to deprive (a…,printed date range,http://www.oed.com/dictionary/actor-manager_v
electromorphic,ELECTROMORPHIC,14,adjective,1907-,1907,1,compound,Biochemistry. Of or relating to an electromorph.,printed date range,http://www.oed.com/dictionary/electromorphic_adj
quince,QUINCE,6,noun,1907-,1907,2,variant,"= quintet, n. 2.",printed date range,http://www.oed.com/dictionary/quince_n2
ramshandry,RAMSHANDRY,10,adjective,1907-,1907,0,compound,"Thoughtless, light-headed; impetuous.",printed date range,http://www.oed.com/dictionary/ramshandry_adj
testamented,TESTAMENTED,11,adjective,1907-,1907,0,derivative,Included in the Old or New Testament Scriptures.,printed date range,http://www.oed.com/dictionary/testamented_adj
pierrotting,PIERROTTING,11,noun,1908-,1908,0,derivative,The business or occupation of a Pierrot.,printed date range,http://www.oed.com/dictionary/pierrotting_n
