LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
bush,"noun, adjective",?c1250-,6,A perennial woody plant that is smaller than a…,inherited,,,In current use,,,https://doi.org/10.1093/OED/4936482945,http://www.oed.com/dictionary/bush_n1
truth,verb,?c1250-,3,intransitive. U.S. colloquial and regional. To…,conversion,,,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/9323639933,http://www.oed.com/dictionary/truth_v
joy,verb,c1260-,4,intransitive. To feel or manifest joy; to be…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/2509484642,http://www.oed.com/dictionary/joy_v
wire-drawer,noun,1265-,2,A person whose job is to draw metal into wire…,compound,,,In current use,,,https://doi.org/10.1093/OED/7816692341,http://www.oed.com/dictionary/wire-drawer_n
dote,noun,a1275-,3,"A foolish, incompetent, or slow-witted person.",conversion,,,In current use,,,https://doi.org/10.1093/OED/1156445948,http://www.oed.com/dictionary/dote_n1
flock,verb,c1275-,5,intransitive (rarely †reflexive). To gather in a…,conversion,,,In current use,,,https://doi.org/10.1093/OED/3757464749,http://www.oed.com/dictionary/flock_v1
murdrum,noun,1290-,2,From the 11th to the 15th cent.: a fine imposed…,borrowing,,historical,In current use,,,https://doi.org/10.1093/OED/2600592393,http://www.oed.com/dictionary/murdrum_n
entice,verb,1297-,5,"To allure, attract by the offer of pleasure or…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/9408821043,http://www.oed.com/dictionary/entice_v
woodwork,noun,1297-,4,"Wood that has been worked, carved, shaped, etc…",compound,,,In current use,,crafts and trades/woodworking,https://doi.org/10.1093/OED/7430727550,http://www.oed.com/dictionary/woodwork_n
chaser,noun,a1300-,4,One who pursues (esp. with hostile intent).,borrowing,,,In current use,,,https://doi.org/10.1093/OED/8687575695,http://www.oed.com/dictionary/chaser_n1
land,verb,a1300-,6,To bring to land; to set on shore; to disembark.,conversion,,,In current use,,transport,https://doi.org/10.1093/OED/3280767735,http://www.oed.com/dictionary/land_v
mercurial,"noun, adjective",a1300-,4,"Of a person: having a lively, volatile, or…",borrowing,,,In current use,,sciences/physical sciences,https://doi.org/10.1093/OED/3157469228,http://www.oed.com/dictionary/mercurial_n
vicar,noun,a1300-,5,Originally: a person ministering to a parish in…,borrowing,,,In current use,,religion and belief/religion/Christianity,https://doi.org/10.1093/OED/7093242734,http://www.oed.com/dictionary/vicar_n
whence,"adverb, conjunction",a1300-,5,From what place? In a direct question.,derivative,,,In current use,,,https://doi.org/10.1093/OED/2838724241,http://www.oed.com/dictionary/whence_adv
chair,noun,c1300-,6,"A seat for one person, typically movable…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/5186691526,http://www.oed.com/dictionary/chair_n1
course,"noun, adverb",c1300-,7,"A series of lectures, lessons, or instructional…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/9705514042,http://www.oed.com/dictionary/course_n1
engine,verb,c1300-,4,transitive. To equip (a vessel) with an engine or…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/7285416022,http://www.oed.com/dictionary/engine_v
milch,adjective,c1300-,4,"Of an animal, originally and… Bred or kept to…",uncertain,,,In current use,,,https://doi.org/10.1093/OED/1590764649,http://www.oed.com/dictionary/milch_adj
mount,verb,c1300-,6,"transitive. To raise in honour, estimation…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/3105817861,http://www.oed.com/dictionary/mount_v
out and out,"adverb, adjective, noun",c1300-,4,"Thoroughly, completely, entirely; downright.",compound,,,In current use,,,https://doi.org/10.1093/OED/1168857348,http://www.oed.com/dictionary/out-and-out_adv
subtle,verb,c1300-,3,transitive. Chiefly U.S. To make more faint…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/6303871190,http://www.oed.com/dictionary/subtle_v
Templar,noun,c1300-,5,A member of a military and religious order…,borrowing,,,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/8172506177,http://www.oed.com/dictionary/templar_n
fame,verb,1303-,5,"To report (a person or thing) as, for, to be (so…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/2443004142,http://www.oed.com/dictionary/fame_v1
flourishing,noun,1303-,4,"The action of flourish, v. in various senses.",derivative,,,In current use,,sciences/life sciences/plants,https://doi.org/10.1093/OED/7698474717,http://www.oed.com/dictionary/flourishing_n
trail,verb,1303-,5,To draw behind one; to drag along upon the ground…,inherited,,,In current use,,,https://doi.org/10.1093/OED/8966332403,http://www.oed.com/dictionary/trail_v1
birder,noun,1308-,4,Originally U.S. A birdwatcher.,derivative,,,In current use,,"sciences/life sciences/animals, sport and leisure/hunting, fishing, and shooting/hunting",https://doi.org/10.1093/OED/9685838336,http://www.oed.com/dictionary/birder_n
increase,verb,c1315-,7,"To become greater in size, amount, duration, or…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/2018932839,http://www.oed.com/dictionary/increase_v
citizen,"noun, adjective",a1325-,6,A legally recognized subject or national of a…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/2431197993,http://www.oed.com/dictionary/citizen_n
colour,verb,a1325-,6,transitive. To impart colour to; to impregnate…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/1013220660,http://www.oed.com/dictionary/colour_v
favourable,adjective,a1325-,6,"Advantageous, helpful; beneficial for one's…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/1132531232,http://www.oed.com/dictionary/favourable_adj
lard,verb,a1325-,4,transitive. Cookery. To prepare (lean meat…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/1009664318,http://www.oed.com/dictionary/lard_v
reasonable,"adjective, noun, adverb",a1325-,6,"Of a person: sensible, sane; having sound…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/5526692941,http://www.oed.com/dictionary/reasonable_adj
rocker,noun,a1325-,5,A person who performs rock music; (esp. in early…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1171378089,http://www.oed.com/dictionary/rocker_n1
sacrify,verb,a1325-1827,0,transitive. To offer as a sacrifice.,borrowing,,,Not in use,,religion and belief/religion,https://doi.org/10.1093/OED/1178117503,http://www.oed.com/dictionary/sacrify_v
